gid,actual_price,rsi,ma25_distance,predicted_action
862638,81745.7007,69.53,94.8,BEARISH_DRIFT
862647,81834.5534,74.49,118.62,BEARISH_DRIFT
862655,81873.5981,81.37,200.5,BEARISH_DRIFT
862664,81932.05,80.78,197.59,BEARISH_DRIFT
862672,81952.6727,88.99,242.88,BEARISH_DRIFT
862681,81983.903,89.21,243.21,BEARISH_DRIFT
862689,82005.7696,98.53,270.53,BEARISH_DRIFT
862698,82013.0854,95.93,294.35,BEARISH_DRIFT
862706,81939.1847,97.08,235.98,BEARISH_DRIFT
862715,81920.665,75.04,140.46,BEARISH_DRIFT
862723,81984.7348,75.29,126.39,BEARISH_DRIFT
862732,81997.7168,77.29,189.27,BEARISH_DRIFT
862740,81974.6646,71.93,130.95,BEARISH_DRIFT
862749,81972.399,66.54,130.63,BEARISH_DRIFT
862757,81924.95,58.88,84.57,BULLISH_DRIFT
862766,81944.6445,50.25,48.12,BULLISH_DRIFT
862774,81915.3423,44.08,43.39,BULLISH_DRIFT
862783,81915.6551,43.14,1.81,BULLISH_DRIFT
862791,81923.3037,36.44,-6.58,BEARISH_DRIFT
862800,81923.8042,35.55,-42.91,BEARISH_DRIFT
862809,81945.0753,50.33,-18.06,BEARISH_DRIFT
862818,81988.29,48.13,-1.03,BEARISH_DRIFT
862826,81987.95,50.9,41.53,BULLISH_DRIFT
862835,82046.287,48.25,24.86,BULLISH_DRIFT
862843,82083.4333,62.0,75.08,BULLISH_DRIFT
862852,82072.7694,78.09,106.7,BEARISH_DRIFT
862860,82048.82,74.34,89.14,BEARISH_DRIFT
862869,82041.046,66.09,68.31,BEARISH_DRIFT
862877,82002.0599,64.34,19.46,BULLISH_DRIFT
862886,81985.08,66.55,45.28,BEARISH_DRIFT
862894,81964.9789,58.85,-30.95,BEARISH_DRIFT
862903,81918.108,53.13,-5.91,BEARISH_DRIFT
862911,81915.2119,44.37,-52.05,BEARISH_DRIFT
862920,81891.13,33.02,-73.48,BULLISH_DRIFT
862928,81880.9731,33.89,-102.23,BULLISH_DRIFT
862937,81924.3368,25.67,-61.35,BULLISH_DRIFT
862945,81937.174,30.0,-45.4,BULLISH_DRIFT
862954,81929.9,30.36,-35.56,BULLISH_DRIFT
862962,81910,38.82,-21.14,BEARISH_DRIFT
862971,81875.0002,33.21,-62.09,BULLISH_DRIFT
862979,81973.1921,29.23,-66.57,BULLISH_DRIFT
862988,82017.9742,62.48,12.11,BULLISH_DRIFT
862996,82023.8006,61.95,30.19,BULLISH_DRIFT
863005,82109.013,71.89,59.41,BEARISH_DRIFT
863013,82100.0331,83.76,118.75,BEARISH_DRIFT
863022,82045.5788,79.43,113.77,BEARISH_DRIFT
863030,81960.0037,62.36,32.06,BULLISH_DRIFT
863039,82012.0066,57.46,-4.17,BEARISH_DRIFT
863047,82000.88,57.32,19.93,BULLISH_DRIFT
863056,81994.84,58.54,27.8,BULLISH_DRIFT
863064,81950.5948,59.37,-5.46,BEARISH_DRIFT
863073,81953.1888,54.83,-33.12,BEARISH_DRIFT
863081,81939.7364,35.66,-46.99,BEARISH_DRIFT
863090,81975.78,37.3,-47.74,BEARISH_DRIFT
863098,81889.8529,38.51,-22.72,BEARISH_DRIFT
863107,81989.8044,24.22,-94.38,BULLISH_DRIFT
863115,82045.903,42.5,-0.08,BEARISH_DRIFT
863124,82037.24,55.84,39.32,BULLISH_DRIFT
863132,82025.1125,49.63,17.15,BULLISH_DRIFT
863141,82024.4991,54.48,1.68,BULLISH_DRIFT
863149,82011.3506,52.39,3.69,BULLISH_DRIFT
863158,81906.6892,57.34,1.09,BULLISH_DRIFT
863166,81907.3794,42.34,-147.63,BEARISH_DRIFT
863175,81961.51,50.21,-99.72,BEARISH_DRIFT
863183,81930.0145,50.59,-20.1,BEARISH_DRIFT
863192,81876.67,47.5,-88.15,BEARISH_DRIFT
863200,81864.5499,44.92,-110.73,BEARISH_DRIFT
863209,81841.0064,36.22,-121.47,BEARISH_DRIFT
863218,81761.3643,28.43,-111.81,BULLISH_DRIFT
863227,81778.9317,29.27,-180.55,BULLISH_DRIFT
863235,81808.63,23.89,-160.18,BULLISH_DRIFT
863244,81873.8586,28.98,-142.77,BULLISH_DRIFT
863252,81948.38,42.61,-50.85,BEARISH_DRIFT
863261,81909.477,53.59,25.19,BULLISH_DRIFT
863269,81914.02,46.56,-25.76,BEARISH_DRIFT
863278,81921.47,43.64,-26.16,BEARISH_DRIFT
863286,81925.8954,56.48,2.74,BULLISH_DRIFT
863295,81902.3517,60.98,-2.61,BEARISH_DRIFT
863303,81895.21,57.77,-12.12,BEARISH_DRIFT
863312,81849.3902,51.52,-36.86,BEARISH_DRIFT
863320,81812.29,59.84,-55.71,BEARISH_DRIFT
863329,81879.1005,58.22,-69.95,BEARISH_DRIFT
863337,81898.7231,55.55,-42.11,BEARISH_DRIFT
863346,81837.3288,49.76,-9.08,BEARISH_DRIFT
863354,81843.5903,38.36,-30.6,BEARISH_DRIFT
863363,82023.3153,45.39,0.14,BULLISH_DRIFT
863371,82024.7536,63.82,140.29,BULLISH_DRIFT
863380,82006.0887,60.57,121.59,BULLISH_DRIFT
863388,81878.5191,53.99,37.06,BULLISH_DRIFT
863397,81838.7659,48.08,-24.96,BEARISH_DRIFT
863405,81866.8756,50.53,-40.77,BEARISH_DRIFT
863414,81877.225,52.49,-45.18,BEARISH_DRIFT
863422,81897.0196,52.9,-7.06,BEARISH_DRIFT
863431,81861.2001,52.53,-66.82,BEARISH_DRIFT
863439,81831.23,48.93,-62.87,BEARISH_DRIFT
863448,81856.7456,50.13,-62.84,BEARISH_DRIFT
863456,81900.91,30.05,-23.72,BULLISH_DRIFT
863465,81855.4078,31.34,-3.04,BULLISH_DRIFT
863473,81950.1799,34.36,2.07,BULLISH_DRIFT
863482,81929.1374,49.7,42.35,BULLISH_DRIFT
863490,82044.4156,58.07,2.38,BULLISH_DRIFT
863499,82012.33,65.95,105.32,BEARISH_DRIFT
863507,81985.7986,66.01,68.23,BEARISH_DRIFT
863516,81983.35,57.47,31.63,BULLISH_DRIFT
863524,81997.87,63.99,29.91,BULLISH_DRIFT
